id;search_term;education_level;role;age
1;override sensor;lavender Assurance;quantifying;ROI
2;Music Latvia;Australia;JSON Avon;Networked full-range
3;microchip capacitor;Principal Northern;Hollow;Rustic Intuitive Principal
4;Table;analyzing Belize PNG;neural virtual;sensor Bedfordshire neural
5;virtual;Account withdrawal Internal;Mouse Rustic ivory;bandwidth-monitored
6;Right-sized Berkshire Buckinghamshire;Applications;RAM Highway;copy Franc
7;Fundamental killer productivity;transmitting;Ramp compressing;ADP Small
8;generating Table Berkshire;Solomon Dollar Games;Fresh Avon;innovate
9;Alaska primary;Handcrafted Designer Mission;Avon;Brazilian invoice
10;Franc Electronics Concrete;Profit-focused hard Burg;Rustic Usability Squares;Chips grey
